Strategy,File,Category,Best_Version,Windows_Passed,Status,Avg_Return,Avg_MaxDD,Total_Trades,OG_Windows,OG_Avg_Return,RA_Windows,RA_Avg_Return,W1_Bull (+64%)_Return,W2_Bear (-42%)_Return,W3_Choppy (+40%)_Return,W4_Choppy (+56%)_Return,W5_Bull (+62%)_Return,W6_Choppy (+52%)_Return,W7_Choppy (+9%)_Return,W8_Choppy (+41%)_Return,W9_Choppy (+11%)_Return
Bollinger + EMA Filter,r2_05_bb_ema_filter.py,mean_reversion,original,6,MARGINAL,19.1,-9.0,11,6,19.1,3,7.8,49.0,-2.2,48.4,11.7,0.0,42.0,6.5,0.0,16.5
Gap Momentum Filter,r1_17_gap_momentum_filter.py,gap_momentum,original,6,MARGINAL,18.6,-25.0,29,6,18.6,4,8.5,52.1,-36.6,69.3,27.3,48.1,27.5,-32.9,22.0,-9.1
StochRSI Oversold,r1_09_stochrsi_oversold.py,mean_reversion,original,6,MARGINAL,18.0,-15.2,6,6,18.0,4,11.3,59.5,-40.3,7.5,58.4,66.3,11.0,5.0,0.0,-5.4
Donchian Channel Breakout,r1_05_donchian_breakout.py,trend,original,6,MARGINAL,17.5,-15.9,20,6,17.5,5,12.3,38.6,-12.8,26.3,37.6,27.2,35.0,-16.2,38.6,-16.7
Gap-Go Tight Trail,r2_09_gap_go_tight_trail.py,gap_momentum,original,6,MARGINAL,17.4,-17.6,36,6,17.4,5,6.5,55.5,-26.9,43.6,16.2,20.2,26.7,-20.3,45.2,-3.6
Gap RSI Confirmation,r2_11_gap_rsi_confirmation.py,gap_momentum,original,6,MARGINAL,17.3,-20.0,35,6,17.3,3,6.2,52.1,-29.5,37.5,47.2,48.8,16.0,-22.9,15.5,-9.0
Gap Expectancy Max (R3),r3_06_gap_expectancy_max.py,gap_momentum,original,6,MARGINAL,16.4,-14.0,19,6,16.4,5,8.5,45.4,-15.4,25.6,32.3,17.0,49.2,-28.4,31.2,-9.4
MACD Crossover,r1_04_macd_crossover.py,trend,original,6,MARGINAL,15.9,-19.3,44,6,15.9,4,8.0,49.1,-16.6,10.7,26.9,35.4,53.1,-10.6,9.5,-14.3
ATR Volatility Breakout,r1_08_atr_breakout.py,gap_momentum,original,6,MARGINAL,15.3,-15.1,22,6,15.3,5,7.9,34.8,-12.8,58.2,3.9,29.5,27.5,-22.5,31.2,-11.7
Mean Rev Regime Switch,r2_06_mean_rev_regime_switch.py,hybrid,original,6,MARGINAL,12.6,-12.2,16,6,12.6,4,4.8,59.0,-24.8,15.2,39.1,0.0,9.3,14.9,-9.1,9.7
Keltner + ATR Trailing,r2_08_keltner_atr_trailing.py,mean_reversion,original,6,MARGINAL,11.1,-14.9,17,6,11.1,3,6.5,55.6,-22.3,1.3,16.3,0.0,42.2,14.0,-13.8,6.2
Pre-Market Breakout,r1_16_premarket_breakout.py,gap_momentum,original,6,MARGINAL,10.5,-11.4,13,6,10.5,5,7.7,27.3,-1.8,17.8,11.4,29.4,26.0,-21.5,18.2,-12.1
MACD + ATR Trail (R3),r3_01_macd_atr_trail.py,hybrid,original,5,MARGINAL,12.6,-20.3,44,5,12.6,4,8.0,49.1,-16.6,-18.8,26.9,35.4,53.1,-10.6,9.5,-14.3
Gap Regime Safe (R3),r3_05_gap_regime_safe.py,gap_momentum,regime,5,MARGINAL,7.7,-8.8,16,5,7.5,5,7.7,0.0,0.0,11.2,9.7,30.0,21.8,-22.2,23.1,-4.0
Golden Cross (SMA 50/200),r1_01_golden_cross.py,trend,regime,4,FRAGILE,12.4,-5.3,0,4,12.4,4,12.4,0.0,0.0,44.7,53.7,0.0,0.0,0.0,3.5,9.7
Overnight Gap Reversal,r1_15_overnight_gap_reversal.py,gap_momentum,regime,4,FRAGILE,3.2,-6.5,42,4,2.6,4,3.2,0.0,-14.8,32.7,0.5,3.5,20.5,-7.8,-0.6,-5.3
Gap Fade,r1_14_gap_fade.py,gap_momentum,original,4,FRAGILE,-2.1,-10.7,36,4,-2.1,3,-0.4,-1.1,-26.9,-3.0,-0.4,0.1,6.7,-2.0,2.0,5.7
Squeeze + ATR Trail,r2_07_squeeze_atr_trail.py,mean_reversion,original,2,FRAGILE,4.6,-4.8,4,2,4.6,1,4.0,-1.7,2.7,0.0,47.5,0.0,0.0,0.0,0.0,-7.1
RSI + ATR Trailing,r2_01_rsi_atr_trailing.py,mean_reversion,original,2,FRAGILE,-1.1,-6.3,5,2,-1.1,0,-0.2,0.0,3.0,-25.7,0.0,0.0,0.0,0.0,12.7,0.0
Safe Momentum (R3),r3_03_safe_momentum.py,mean_reversion,original,1,FRAGILE,2.8,-4.6,6,1,2.8,1,2.9,-1.7,-6.1,0.0,36.1,0.0,0.0,0.0,0.0,-3.5
RSI Mean Reversion,r1_02_rsi_mean_reversion.py,mean_reversion,original,1,FRAGILE,2.1,-10.5,2,1,2.1,0,-0.2,0.0,-15.9,-18.1,0.0,0.0,0.0,0.0,53.2,0.0
BB + Keltner Squeeze,r1_12_bb_keltner_squeeze.py,mean_reversion,original,1,FRAGILE,-0.4,-1.7,4,1,-0.4,0,-0.7,2.5,-4.1,0.0,-0.2,0.0,0.0,0.0,0.0,-2.1
ADX Trend Strength,r1_10_adx_trend.py,trend,original,1,FRAGILE,-1.1,-2.6,8,1,-1.1,0,-1.8,0.0,-8.1,5.7,0.0,0.0,-7.9,0.0,0.0,0.0
SuperTrend,r1_06_supertrend.py,trend,regime,0,FRAGILE,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSI + MACD Hybrid (R3),r3_02_rsi_macd_hybrid.py,mean_reversion,regime,0,FRAGILE,-1.7,-2.4,2,0,-4.4,0,-1.7,0.0,-15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
